region,year,age,city,village
Vinnytsa,2003,40-44,62,75
Vinnytsa,2003,45-49,3,1
Vinnytsa,2003,50-54,0,0
Vinnytsa,2003,55 and older,0,0
Vinnytsa,2004,before 15,0,9
Vinnytsa,2004,15-19,927,1 339
Vinnytsa,2004,20-24,3 261,2 987
Vinnytsa,2004,25-29,2 265,1 919
Vinnytsa,2004,30-34,1 128,882
Vinnytsa,2004,35-39,353,280
Vinnytsa,2004,40-44,75,75
Vinnytsa,2004,45-49,3,4
Vinnytsa,2004,50-54,0,0
Vinnytsa,2004,55 and older,0,0
Vinnytsa,2005,before 15,2,4
Vinnytsa,2005,15-19,819,1 216
Vinnytsa,2005,20-24,3 141,2 839
Vinnytsa,2005,25-29,2 195,1 919
Vinnytsa,2005,30-34,1 207,975
Vinnytsa,2005,35-39,395,308
Vinnytsa,2005,40-44,57,70
Vinnytsa,2005,45-49,8,3
Vinnytsa,2005,50-54,0,0
Vinnytsa,2005,55 and older,0,0
Vinnytsa,2006,before 15,3,3
Vinnytsa,2006,15-19,779,1 165
Vinnytsa,2006,20-24,3 322,3 048
Vinnytsa,2006,25-29,2 542,2 009
Vinnytsa,2006,30-34,1 340,1 126
Vinnytsa,2006,35-39,439,355
Vinnytsa,2006,40-44,60,72
Vinnytsa,2006,45-49,3,2
Vinnytsa,2006,50-54,0,0
Vinnytsa,2006,55 and older,0,0
Vinnytsa,2007,before 15,3,3
Vinnytsa,2007,15-19,805,1 216
Vinnytsa,2007,20-24,3 308,3 196
Vinnytsa,2007,25-29,2 559,2 036
Vinnytsa,2007,30-34,1 427,1 119
Vinnytsa,2007,35-39,475,389
Vinnytsa,2007,40-44,80,74
Vinnytsa,2007,45-49,3,2
Vinnytsa,2007,50-54,0,0
Vinnytsa,2007,55 and older,0,0
Vinnytsa,2008,before 15,2,5
Vinnytsa,2008,15-19,701,1 182
Vinnytsa,2008,20-24,3 478,3 370
Vinnytsa,2008,25-29,2 880,2 249
Vinnytsa,2008,30-34,1 629,1 204
Vinnytsa,2008,35-39,567,450
Vinnytsa,2008,40-44,83,82
Vinnytsa,2008,45-49,5,2
Vinnytsa,2008,50-54,0,0
Vinnytsa,2008,55 and older,0,0
Vinnytsa,2009,before 15,3,2
Vinnytsa,2009,15-19,652,1 127
Vinnytsa,2009,20-24,3 175,3 328
Vinnytsa,2009,25-29,3 026,2 327
Vinnytsa,2009,30-34,1 727,1 341
Vinnytsa,2009,35-39,632,489
Vinnytsa,2009,40-44,105,97
Vinnytsa,2009,45-49,4,4
Vinnytsa,2009,50-54,0,0
Vinnytsa,2009,55 and older,0,0
Vinnytsa,2010,before 15,0,3
Vinnytsa,2010,15-19,528,1 059
Vinnytsa,2010,20-24,2 946,3 121
Vinnytsa,2010,25-29,3 106,2 338
Vinnytsa,2010,30-34,1 621,1 372
Vinnytsa,2010,35-39,648,526
Vinnytsa,2010,40-44,107,104
Vinnytsa,2010,45-49,4,5
Vinnytsa,2010,50-54,0,0
Vinnytsa,2010,55 and older,0,0
Vinnytsa,2011,before 15,0,2
Vinnytsa,2011,15-19,501,981
Vinnytsa,2011,20-24,2 810,3 174
Vinnytsa,2011,25-29,3 160,2 442
Vinnytsa,2011,30-34,1 826,1 428
Vinnytsa,2011,35-39,729,590
Vinnytsa,2011,40-44,105,118
Vinnytsa,2011,45-49,10,6
Vinnytsa,2011,50-54,0,0
Vinnytsa,2011,55 and older,0,0
Vinnytsa,2012,before 15,4,2
Vinnytsa,2012,15-19,481,1 000
Vinnytsa,2012,20-24,2 806,3 185
Vinnytsa,2012,25-29,3 365,2 579
Vinnytsa,2012,30-34,1 881,1 357
Vinnytsa,2012,35-39,752,624
Vinnytsa,2012,40-44,140,133
Vinnytsa,2012,45-49,4,3
Vinnytsa,2012,50-54,1,1
Vinnytsa,2012,55 and older,0,0
Vinnytsa,2013,before 15,2,1
Vinnytsa,2013,15-19,394,892
Vinnytsa,2013,20-24,2 495,2 996
Vinnytsa,2013,25-29,3 298,2 490
Vinnytsa,2013,30-34,1 903,1 320
Vinnytsa,2013,35-39,751,618
Vinnytsa,2013,40-44,138,115
Vinnytsa,2013,45-49,7,4
Vinnytsa,2013,50-54,0,0
Vinnytsa,2013,55 and older,0,0
Vinnytsa,2014,before 15,2,4
Vinnytsa,2014,15-19,382,890
Vinnytsa,2014,20-24,2 392,2 900
Vinnytsa,2014,25-29,3 216,2 459
Vinnytsa,2014,30-34,2 080,1 432
Vinnytsa,2014,35-39,794,657
Vinnytsa,2014,40-44,159,146
Vinnytsa,2014,45-49,7,6
Vinnytsa,2014,50-54,0,0
Vinnytsa,2014,55 and older,0,0
Vinnytsa,2015,before 15,2,4
Vinnytsa,2015,15-19,363,810
Vinnytsa,2015,20-24,2 237,2 772
Vinnytsa,2015,25-29,3 038,2 324
Vinnytsa,2015,30-34,2 011,1 278
Vinnytsa,2015,35-39,742,566
Vinnytsa,2015,40-44,154,107
Vinnytsa,2015,45-49,7,7
Vinnytsa,2015,50-54,0,0
Vinnytsa,2015,55 and older,0,0
Vinnytsa,2016,before 15,1,2
Vinnytsa,2016,15-19,302,708
Vinnytsa,2016,20-24,1 986,2 532
Vinnytsa,2016,25-29,2 763,2 184
Vinnytsa,2016,30-34,2 005,1 239
Vinnytsa,2016,35-39,765,510
Vinnytsa,2016,40-44,156,137
Vinnytsa,2016,45-49,5,4
Vinnytsa,2016,50-54,0,0
Vinnytsa,2016,55 and older,1,0
Vinnytsa,2017,before 15,1,3
Vinnytsa,2017,15-19,239,613
Vinnytsa,2017,20-24,1 668,2 221
Vinnytsa,2017,25-29,2 590,2 026
Vinnytsa,2017,30-34,1 957,1 215
Vinnytsa,2017,35-39,776,520
Vinnytsa,2017,40-44,156,130
Vinnytsa,2017,45-49,7,6
Vinnytsa,2017,50-54,0,0
Vinnytsa,2017,55 and older,1,0
Volynska,1990,before 15,0,0
Volynska,1990,15-19,988,958
Volynska,1990,20-24,3 784,3 335
Volynska,1990,25-29,2 445,1 867
Volynska,1990,30-34,1 237,920
Volynska,1990,35-39,326,371
Volynska,1990,40-44,49,90
Volynska,1990,45-49,2,4
Volynska,1990,50-54,1,0
Volynska,1990,55 and older,0,0
Volynska,1991,before 15,0,0
Volynska,1991,15-19,1 045,975
Volynska,1991,20-24,3 554,3 151
Volynska,1991,25-29,2 124,1 692
Volynska,1991,30-34,1 081,821
Volynska,1991,35-39,291,318
Volynska,1991,40-44,74,86
Volynska,1991,45-49,0,11
Volynska,1991,50-54,0,0
Volynska,1991,55 and older,0,0
Volynska,1992,before 15,0,0
Volynska,1992,15-19,1 069,1 204
Volynska,1992,20-24,3 650,3 589
Volynska,1992,25-29,2 116,1 723
Volynska,1992,30-34,1 079,885
Volynska,1992,35-39,319,330
Volynska,1992,40-44,62,85
Volynska,1992,45-49,2,10
Volynska,1992,50-54,0,0
Volynska,1992,55 and older,0,0
Volynska,1993,before 15,0,0
Volynska,1993,15-19,1 016,1 184
Volynska,1993,20-24,3 365,3 555
Volynska,1993,25-29,1 908,1 721
