region,year,age,city,village
Zakarpatska,2012,20-24,2 092,4 548
Zakarpatska,2012,25-29,2 196,3 635
Zakarpatska,2012,30-34,1 174,1 756
Zakarpatska,2012,35-39,517,639
Zakarpatska,2012,40-44,96,135
Zakarpatska,2012,45-49,2,4
Zakarpatska,2012,50-54,0,0
Zakarpatska,2012,55 and older,0,0
Zakarpatska,2013,before 15,23,27
Zakarpatska,2013,15-19,660,1 397
Zakarpatska,2013,20-24,1 912,4 497
Zakarpatska,2013,25-29,2 097,3 540
Zakarpatska,2013,30-34,1 176,1 735
Zakarpatska,2013,35-39,515,667
Zakarpatska,2013,40-44,93,132
Zakarpatska,2013,45-49,4,5
Zakarpatska,2013,50-54,0,2
Zakarpatska,2013,55 and older,0,0
Zakarpatska,2014,before 15,27,22
Zakarpatska,2014,15-19,599,1 287
Zakarpatska,2014,20-24,1 812,4 459
Zakarpatska,2014,25-29,2 132,3 523
Zakarpatska,2014,30-34,1 279,1 777
Zakarpatska,2014,35-39,523,692
Zakarpatska,2014,40-44,94,137
Zakarpatska,2014,45-49,2,3
Zakarpatska,2014,50-54,0,0
Zakarpatska,2014,55 and older,0,0
Zakarpatska,2015,before 15,36,29
Zakarpatska,2015,15-19,583,1 262
Zakarpatska,2015,20-24,1 769,4 082
Zakarpatska,2015,25-29,1 862,3 151
Zakarpatska,2015,30-34,1 130,1 546
Zakarpatska,2015,35-39,495,602
Zakarpatska,2015,40-44,97,127
Zakarpatska,2015,45-49,2,4
Zakarpatska,2015,50-54,0,2
Zakarpatska,2015,55 and older,1,0
Zakarpatska,2016,before 15,27,24
Zakarpatska,2016,15-19,544,1 126
Zakarpatska,2016,20-24,1 521,3 894
Zakarpatska,2016,25-29,1 752,3 176
Zakarpatska,2016,30-34,1 101,1 519
Zakarpatska,2016,35-39,491,589
Zakarpatska,2016,40-44,101,118
Zakarpatska,2016,45-49,3,4
Zakarpatska,2016,50-54,0,1
Zakarpatska,2016,55 and older,0,0
Zakarpatska,2017,before 15,30,22
Zakarpatska,2017,15-19,554,941
Zakarpatska,2017,20-24,1 354,3 328
Zakarpatska,2017,25-29,1 616,2 862
Zakarpatska,2017,30-34,1 109,1 490
Zakarpatska,2017,35-39,452,546
Zakarpatska,2017,40-44,101,114
Zakarpatska,2017,45-49,7,7
Zakarpatska,2017,50-54,0,0
Zakarpatska,2017,55 and older,0,0
Zaporizka,1990,before 15,0,0
Zaporizka,1990,15-19,3 103,1 309
Zaporizka,1990,20-24,7 977,2 535
Zaporizka,1990,25-29,4 952,1 446
Zaporizka,1990,30-34,2 498,731
Zaporizka,1990,35-39,880,300
Zaporizka,1990,40-44,147,65
Zaporizka,1990,45-49,6,4
Zaporizka,1990,50-54,0,1
Zaporizka,1990,55 and older,0,0
Zaporizka,1991,before 15,0,0
Zaporizka,1991,15-19,3 085,1 366
Zaporizka,1991,20-24,7 403,2 474
Zaporizka,1991,25-29,4 560,1 393
Zaporizka,1991,30-34,2 311,759
Zaporizka,1991,35-39,874,286
Zaporizka,1991,40-44,149,66
Zaporizka,1991,45-49,4,3
Zaporizka,1991,50-54,0,0
Zaporizka,1991,55 and older,0,0
Zaporizka,1992,before 15,0,0
Zaporizka,1992,15-19,2 986,1 361
Zaporizka,1992,20-24,6 811,2 351
Zaporizka,1992,25-29,3 776,1 348
Zaporizka,1992,30-34,2 094,702
Zaporizka,1992,35-39,715,263
Zaporizka,1992,40-44,138,60
Zaporizka,1992,45-49,5,4
Zaporizka,1992,50-54,1,0
Zaporizka,1992,55 and older,0,0
Zaporizka,1993,before 15,0,0
Zaporizka,1993,15-19,2 822,1 311
Zaporizka,1993,20-24,6 381,2 236
Zaporizka,1993,25-29,3 434,1 187
Zaporizka,1993,30-34,1 859,596
Zaporizka,1993,35-39,655,213
Zaporizka,1993,40-44,119,47
Zaporizka,1993,45-49,2,5
Zaporizka,1993,50-54,0,0
Zaporizka,1993,55 and older,0,0
Zaporizka,1994,before 15,0,0
Zaporizka,1994,15-19,2 708,1 239
Zaporizka,1994,20-24,6 002,2 042
Zaporizka,1994,25-29,3 094,1 074
Zaporizka,1994,30-34,1 632,523
Zaporizka,1994,35-39,541,227
Zaporizka,1994,40-44,117,39
Zaporizka,1994,45-49,6,4
Zaporizka,1994,50-54,0,0
Zaporizka,1994,55 and older,0,0
Zaporizka,1995,before 15,3,8
Zaporizka,1995,15-19,2 542,1 239
Zaporizka,1995,20-24,5 515,1 913
Zaporizka,1995,25-29,2 862,1 021
Zaporizka,1995,30-34,1 411,485
Zaporizka,1995,35-39,489,182
Zaporizka,1995,40-44,89,38
Zaporizka,1995,45-49,3,3
Zaporizka,1995,50-54,1,0
Zaporizka,1995,55 and older,0,0
Zaporizka,1996,before 15,3,6
Zaporizka,1996,15-19,2 343,1 125
Zaporizka,1996,20-24,5 220,1 885
Zaporizka,1996,25-29,2 681,914
Zaporizka,1996,30-34,1 320,447
Zaporizka,1996,35-39,483,200
Zaporizka,1996,40-44,76,34
Zaporizka,1996,45-49,1,1
Zaporizka,1996,50-54,1,0
Zaporizka,1996,55 and older,0,0
Zaporizka,1997,before 15,5,2
Zaporizka,1997,15-19,1 880,977
Zaporizka,1997,20-24,5 383,1 862
Zaporizka,1997,25-29,2 628,963
Zaporizka,1997,30-34,1 278,411
Zaporizka,1997,35-39,514,166
Zaporizka,1997,40-44,94,49
Zaporizka,1997,45-49,3,1
Zaporizka,1997,50-54,0,1
Zaporizka,1997,55 and older,0,0
Zaporizka,1998,before 15,8,4
Zaporizka,1998,15-19,1 514,650
Zaporizka,1998,20-24,5 161,1 978
Zaporizka,1998,25-29,2 308,746
Zaporizka,1998,30-34,1 279,550
Zaporizka,1998,35-39,402,173
Zaporizka,1998,40-44,102,57
Zaporizka,1998,45-49,5,6
Zaporizka,1998,50-54,1,1
Zaporizka,1998,55 and older,0,0
Zaporizka,1999,before 15,1,4
Zaporizka,1999,15-19,1 294,641
Zaporizka,1999,20-24,4 599,1 836
Zaporizka,1999,25-29,2 242,678
Zaporizka,1999,30-34,1 361,505
Zaporizka,1999,35-39,387,136
Zaporizka,1999,40-44,107,64
Zaporizka,1999,45-49,1,2
Zaporizka,1999,50-54,3,1
Zaporizka,1999,55 and older,0,0
Zaporizka,2000,before 15,2,1
Zaporizka,2000,15-19,1 340,700
Zaporizka,2000,20-24,4 297,1 627
Zaporizka,2000,25-29,2 692,908
Zaporizka,2000,30-34,1 151,417
Zaporizka,2000,35-39,405,176
Zaporizka,2000,40-44,114,47
Zaporizka,2000,45-49,3,3
Zaporizka,2000,50-54,1,0
Zaporizka,2000,55 and older,0,0
Zaporizka,2001,before 15,2,1
Zaporizka,2001,15-19,920,461
Zaporizka,2001,20-24,4 107,1 567
Zaporizka,2001,25-29,3 165,1 022
Zaporizka,2001,30-34,1 409,495
Zaporizka,2001,35-39,465,181
Zaporizka,2001,40-44,118,58
Zaporizka,2001,45-49,1,3
Zaporizka,2001,50-54,0,0
Zaporizka,2001,55 and older,0,0
Zaporizka,2002,before 15,4,1
Zaporizka,2002,15-19,1 303,751
Zaporizka,2002,20-24,4 482,1 731
Zaporizka,2002,25-29,3 048,925
Zaporizka,2002,30-34,1 399,444
Zaporizka,2002,35-39,470,138
Zaporizka,2002,40-44,87,48
Zaporizka,2002,45-49,1,0
Zaporizka,2002,50-54,0,0
Zaporizka,2002,55 and older,0,0
Zaporizka,2003,before 15,3,1
Zaporizka,2003,15-19,1 359,773
Zaporizka,2003,20-24,4 517,1 647
Zaporizka,2003,25-29,3 277,932
Zaporizka,2003,30-34,1 544,448
Zaporizka,2003,35-39,510,150
Zaporizka,2003,40-44,95,39
Zaporizka,2003,45-49,5,1
Zaporizka,2003,50-54,0,0
Zaporizka,2003,55 and older,0,0
Zaporizka,2004,before 15,4,2
Zaporizka,2004,15-19,1 473,781
Zaporizka,2004,20-24,4 626,1 607
Zaporizka,2004,25-29,3 571,903
Zaporizka,2004,30-34,1 741,459
Zaporizka,2004,35-39,565,161
Zaporizka,2004,40-44,141,36
Zaporizka,2004,45-49,6,3
Zaporizka,2004,50-54,0,0
Zaporizka,2004,55 and older,0,0
Zaporizka,2005,before 15,2,3
Zaporizka,2005,15-19,1 263,781
Zaporizka,2005,20-24,4 473,1 466
Zaporizka,2005,25-29,3 598,938
Zaporizka,2005,30-34,1 901,477
Zaporizka,2005,35-39,641,158
Zaporizka,2005,40-44,107,32
Zaporizka,2005,45-49,4,2
Zaporizka,2005,50-54,0,0
Zaporizka,2005,55 and older,0,0
Zaporizka,2006,before 15,4,4
Zaporizka,2006,15-19,1 224,746
Zaporizka,2006,20-24,4 696,1 610
Zaporizka,2006,25-29,3 968,1 041
Zaporizka,2006,30-34,2 198,564
Zaporizka,2006,35-39,750,215
Zaporizka,2006,40-44,124,35
Zaporizka,2006,45-49,2,2
Zaporizka,2006,50-54,0,0
Zaporizka,2006,55 and older,0,0
Zaporizka,2007,before 15,0,2
Zaporizka,2007,15-19,1 176,714
Zaporizka,2007,20-24,4 647,1 702
Zaporizka,2007,25-29,4 022,1 068
Zaporizka,2007,30-34,2 405,604
Zaporizka,2007,35-39,799,212
Zaporizka,2007,40-44,125,40
Zaporizka,2007,45-49,4,1
Zaporizka,2007,50-54,0,0
Zaporizka,2007,55 and older,0,0
Zaporizka,2008,before 15,2,1
Zaporizka,2008,15-19,1 190,701
Zaporizka,2008,20-24,4 679,1 860
Zaporizka,2008,25-29,4 441,1 246
Zaporizka,2008,30-34,2 657,628
Zaporizka,2008,35-39,991,250
Zaporizka,2008,40-44,148,35
Zaporizka,2008,45-49,3,3
Zaporizka,2008,50-54,0,0
Zaporizka,2008,55 and older,0,0
Zaporizka,2009,before 15,7,0
Zaporizka,2009,15-19,983,661
Zaporizka,2009,20-24,4 386,1 776
Zaporizka,2009,25-29,4 478,1 238
Zaporizka,2009,30-34,2 675,643
Zaporizka,2009,35-39,1 038,251
Zaporizka,2009,40-44,156,47
Zaporizka,2009,45-49,5,1
Zaporizka,2009,50-54,0,0
Zaporizka,2009,55 and older,0,0
Zaporizka,2010,before 15,3,4
Zaporizka,2010,15-19,871,558
Zaporizka,2010,20-24,3 982,1 693
Zaporizka,2010,25-29,4 499,1 280
Zaporizka,2010,30-34,2 749,699
Zaporizka,2010,35-39,1 119,280
Zaporizka,2010,40-44,151,65
Zaporizka,2010,45-49,10,3
Zaporizka,2010,50-54,0,0
Zaporizka,2010,55 and older,0,0
Zaporizka,2011,before 15,0,1
Zaporizka,2011,15-19,782,498
Zaporizka,2011,20-24,3 784,1 690
Zaporizka,2011,25-29,4 608,1 337
Zaporizka,2011,30-34,2 884,759
Zaporizka,2011,35-39,1 205,340
Zaporizka,2011,40-44,185,52
Zaporizka,2011,45-49,12,1
Zaporizka,2011,50-54,0,0
Zaporizka,2011,55 and older,0,0
Zaporizka,2012,before 15,1,3
Zaporizka,2012,15-19,765,527
Zaporizka,2012,20-24,3 580,1 654
Zaporizka,2012,25-29,4 892,1 458
Zaporizka,2012,30-34,3 086,859
Zaporizka,2012,35-39,1 345,354
Zaporizka,2012,40-44,215,59
Zaporizka,2012,45-49,18,2
Zaporizka,2012,50-54,0,0
Zaporizka,2012,55 and older,0,0
Zaporizka,2013,before 15,2,4
Zaporizka,2013,15-19,642,499
Zaporizka,2013,20-24,3 287,1 576
Zaporizka,2013,25-29,4 705,1 464
Zaporizka,2013,30-34,3 056,812
Zaporizka,2013,35-39,1 353,400
Zaporizka,2013,40-44,203,68
Zaporizka,2013,45-49,9,0
Zaporizka,2013,50-54,0,1
Zaporizka,2013,55 and older,0,0
Zaporizka,2014,before 15,0,3
Zaporizka,2014,15-19,633,458
Zaporizka,2014,20-24,3 156,1 475
Zaporizka,2014,25-29,5 062,1 458
Zaporizka,2014,30-34,3 359,881
Zaporizka,2014,35-39,1 463,380
Zaporizka,2014,40-44,249,89
Zaporizka,2014,45-49,4,3
Zaporizka,2014,50-54,1,0
Zaporizka,2014,55 and older,0,0
Zaporizka,2015,before 15,1,0
Zaporizka,2015,15-19,501,432
Zaporizka,2015,20-24,2 778,1 375
Zaporizka,2015,25-29,4 411,1 301
Zaporizka,2015,30-34,2 967,739
Zaporizka,2015,35-39,1 339,323
Zaporizka,2015,40-44,281,62
Zaporizka,2015,45-49,12,0
Zaporizka,2015,50-54,0,1
Zaporizka,2015,55 and older,0,0
Zaporizka,2016,before 15,2,4
Zaporizka,2016,15-19,449,354
Zaporizka,2016,20-24,2 377,1 204
Zaporizka,2016,25-29,4 098,1 241
Zaporizka,2016,30-34,3 054,797
Zaporizka,2016,35-39,1 412,328
Zaporizka,2016,40-44,236,53
Zaporizka,2016,45-49,11,5
Zaporizka,2016,50-54,1,0
Zaporizka,2016,55 and older,0,0
Zaporizka,2017,before 15,0,1
Zaporizka,2017,15-19,369,287
Zaporizka,2017,20-24,2 015,981
Zaporizka,2017,25-29,3 579,1 181
Zaporizka,2017,30-34,2 975,725
Zaporizka,2017,35-39,1 292,315
Zaporizka,2017,40-44,302,61
Zaporizka,2017,45-49,16,6
Zaporizka,2017,50-54,1,0
Zaporizka,2017,55 and older,0,0
Frankivska,1990,before 15,0,0
Frankivska,1990,15-19,1 249,2 125
Frankivska,1990,20-24,4 085,5 605
Frankivska,1990,25-29,2 676,3 014
Frankivska,1990,30-34,1 183,1 326
Frankivska,1990,35-39,377,452
Frankivska,1990,40-44,70,115
Frankivska,1990,45-49,3,8
Frankivska,1990,50-54,0,0
Frankivska,1990,55 and older,0,0
Frankivska,1991,before 15,0,0
Frankivska,1991,15-19,1 225,2 283
Frankivska,1991,20-24,3 767,5 711
Frankivska,1991,25-29,2 416,2 838
Frankivska,1991,30-34,1 161,1 374
Frankivska,1991,35-39,330,403
Frankivska,1991,40-44,66,118
Frankivska,1991,45-49,1,0
Frankivska,1991,50-54,0,0
Frankivska,1991,55 and older,0,0
Frankivska,1992,before 15,0,0
Frankivska,1992,15-19,1 196,2 403
Frankivska,1992,20-24,3 783,5 450
Frankivska,1992,25-29,2 221,2 646
Frankivska,1992,30-34,1 063,1 300
Frankivska,1992,35-39,342,409
Frankivska,1992,40-44,65,121
Frankivska,1992,45-49,4,4
Frankivska,1992,50-54,0,0
Frankivska,1992,55 and older,0,0
Frankivska,1993,before 15,0,0
Frankivska,1993,15-19,1 168,2 291
Frankivska,1993,20-24,3 503,5 297
Frankivska,1993,25-29,2 123,2 560
Frankivska,1993,30-34,1 024,1 309
Frankivska,1993,35-39,360,421
Frankivska,1993,40-44,87,106
Frankivska,1993,45-49,1,7
Frankivska,1993,50-54,0,0
Frankivska,1993,55 and older,0,0
Frankivska,1994,before 15,0,0
Frankivska,1994,15-19,1 185,2 336
Frankivska,1994,20-24,3 215,5 115
Frankivska,1994,25-29,1 878,2 368
Frankivska,1994,30-34,1 014,1 203
Frankivska,1994,35-39,333,448
Frankivska,1994,40-44,76,97
Frankivska,1994,45-49,4,4
Frankivska,1994,50-54,0,0
Frankivska,1994,55 and older,0,0
Frankivska,1995,before 15,0,3
Frankivska,1995,15-19,1 167,2 312
Frankivska,1995,20-24,3 077,4 908
Frankivska,1995,25-29,1 772,2 377
Frankivska,1995,30-34,851,1 052
Frankivska,1995,35-39,359,426
Frankivska,1995,40-44,73,91
Frankivska,1995,45-49,6,4
Frankivska,1995,50-54,0,0
Frankivska,1995,55 and older,0,0
Frankivska,1996,before 15,1,2
Frankivska,1996,15-19,1 109,2 170
Frankivska,1996,20-24,3 085,4 744
Frankivska,1996,25-29,1 791,2 232
Frankivska,1996,30-34,834,947
Frankivska,1996,35-39,299,388
Frankivska,1996,40-44,59,75
Frankivska,1996,45-49,2,4
Frankivska,1996,50-54,0,0
Frankivska,1996,55 and older,0,0
Frankivska,1997,before 15,1,4
Frankivska,1997,15-19,1 050,2 112
Frankivska,1997,20-24,2 871,4 381
Frankivska,1997,25-29,1 738,2 162
Frankivska,1997,30-34,784,945
Frankivska,1997,35-39,294,441
Frankivska,1997,40-44,65,83
Frankivska,1997,45-49,4,4
Frankivska,1997,50-54,0,0
Frankivska,1997,55 and older,0,0
Frankivska,1998,before 15,0,2
Frankivska,1998,15-19,874,1 915
Frankivska,1998,20-24,2 629,4 247
Frankivska,1998,25-29,1 577,2 108
Frankivska,1998,30-34,705,883
Frankivska,1998,35-39,327,388
Frankivska,1998,40-44,44,83
Frankivska,1998,45-49,3,6
Frankivska,1998,50-54,0,0
Frankivska,1998,55 and older,0,0
Frankivska,1999,before 15,2,2
Frankivska,1999,15-19,812,1 744
Frankivska,1999,20-24,2 365,3 956
Frankivska,1999,25-29,1 432,2 093
Frankivska,1999,30-34,645,760
Frankivska,1999,35-39,242,319
Frankivska,1999,40-44,68,90
Frankivska,1999,45-49,3,4
Frankivska,1999,50-54,0,0
Frankivska,1999,55 and older,0,0
Frankivska,2000,before 15,1,6
Frankivska,2000,15-19,769,1 720
Frankivska,2000,20-24,2 397,4 080
Frankivska,2000,25-29,1 476,2 008
Frankivska,2000,30-34,672,775
Frankivska,2000,35-39,245,330
Frankivska,2000,40-44,53,85
Frankivska,2000,45-49,4,6
Frankivska,2000,50-54,0,0
Frankivska,2000,55 and older,0,0
Frankivska,2001,before 15,1,2
Frankivska,2001,15-19,683,1 617
Frankivska,2001,20-24,2 321,3 721
Frankivska,2001,25-29,1 437,1 936
Frankivska,2001,30-34,659,765
Frankivska,2001,35-39,262,292
Frankivska,2001,40-44,41,93
Frankivska,2001,45-49,4,3
Frankivska,2001,50-54,0,0
Frankivska,2001,55 and older,0,0
Frankivska,2002,before 15,0,3
Frankivska,2002,15-19,734,1 505
Frankivska,2002,20-24,2 353,3 666
Frankivska,2002,25-29,1 508,2 002
Frankivska,2002,30-34,698,784
Frankivska,2002,35-39,215,295
Frankivska,2002,40-44,67,72
Frankivska,2002,45-49,3,2
Frankivska,2002,50-54,0,0
Frankivska,2002,55 and older,0,0
Frankivska,2003,before 15,1,4
Frankivska,2003,15-19,720,1 398
Frankivska,2003,20-24,2 492,3 720
Frankivska,2003,25-29,1 613,1 926
Frankivska,2003,30-34,751,832
Frankivska,2003,35-39,256,260
Frankivska,2003,40-44,66,65
Frankivska,2003,45-49,3,2
Frankivska,2003,50-54,0,0
Frankivska,2003,55 and older,0,0
Frankivska,2004,before 15,2,3
Frankivska,2004,15-19,706,1 434
Frankivska,2004,20-24,2 770,3 926
Frankivska,2004,25-29,1 730,2 032
Frankivska,2004,30-34,820,883
Frankivska,2004,35-39,260,300
Frankivska,2004,40-44,55,59
Frankivska,2004,45-49,3,0
Frankivska,2004,50-54,0,0
Frankivska,2004,55 and older,0,0
Frankivska,2005,before 15,1,1
Frankivska,2005,15-19,673,1 296
Frankivska,2005,20-24,2 739,3 871
Frankivska,2005,25-29,1 724,2 092
Frankivska,2005,30-34,901,917
Frankivska,2005,35-39,306,339
Frankivska,2005,40-44,46,75
Frankivska,2005,45-49,5,4
Frankivska,2005,50-54,0,0
Frankivska,2005,55 and older,0,0
Frankivska,2006,before 15,0,2
Frankivska,2006,15-19,689,1 313
Frankivska,2006,20-24,2 646,4 046
Frankivska,2006,25-29,1 983,2 320
Frankivska,2006,30-34,957,1 020
Frankivska,2006,35-39,344,362
Frankivska,2006,40-44,52,71
Frankivska,2006,45-49,2,1
Frankivska,2006,50-54,0,0
Frankivska,2006,55 and older,0,0
Frankivska,2007,before 15,1,3
Frankivska,2007,15-19,645,1 349
Frankivska,2007,20-24,2 696,4 080
Frankivska,2007,25-29,2 073,2 348
Frankivska,2007,30-34,1 062,1 071
Frankivska,2007,35-39,368,382
Frankivska,2007,40-44,68,84
Frankivska,2007,45-49,3,2
Frankivska,2007,50-54,0,0
Frankivska,2007,55 and older,0,0
Frankivska,2008,before 15,4,8
Frankivska,2008,15-19,670,1 331
Frankivska,2008,20-24,2 728,4 194
Frankivska,2008,25-29,2 213,2 610
Frankivska,2008,30-34,1 088,1 134
Frankivska,2008,35-39,421,406
Frankivska,2008,40-44,84,83
Frankivska,2008,45-49,1,2
Frankivska,2008,50-54,0,0
Frankivska,2008,55 and older,0,0
Frankivska,2009,before 15,2,2
Frankivska,2009,15-19,484,1 264
Frankivska,2009,20-24,2 535,4 206
Frankivska,2009,25-29,2 272,2 964
Frankivska,2009,30-34,1 157,1 318
Frankivska,2009,35-39,470,489
Frankivska,2009,40-44,73,82
Frankivska,2009,45-49,3,6
Frankivska,2009,50-54,0,0
Frankivska,2009,55 and older,0,0
Frankivska,2010,before 15,0,4
Frankivska,2010,15-19,409,1 228
Frankivska,2010,20-24,2 136,3 978
Frankivska,2010,25-29,2 091,2 965
Frankivska,2010,30-34,1 087,1 322
Frankivska,2010,35-39,449,470
Frankivska,2010,40-44,95,89
Frankivska,2010,45-49,5,11
Frankivska,2010,50-54,0,0
Frankivska,2010,55 and older,0,0
Frankivska,2011,before 15,0,3
Frankivska,2011,15-19,334,1 072
Frankivska,2011,20-24,2 096,3 853
Frankivska,2011,25-29,2 330,3 028
Frankivska,2011,30-34,1 219,1 410
Frankivska,2011,35-39,407,533
Frankivska,2011,40-44,93,107
Frankivska,2011,45-49,3,3
Frankivska,2011,50-54,0,0
Frankivska,2011,55 and older,0,0
Frankivska,2012,before 15,1,0
Frankivska,2012,15-19,373,1 020
Frankivska,2012,20-24,2 014,3 837
Frankivska,2012,25-29,2 350,3 371
Frankivska,2012,30-34,1 304,1 544
Frankivska,2012,35-39,525,552
Frankivska,2012,40-44,91,105
Frankivska,2012,45-49,7,5
Frankivska,2012,50-54,0,0
Frankivska,2012,55 and older,0,0
Frankivska,2013,before 15,2,1
Frankivska,2013,15-19,331,918
Frankivska,2013,20-24,1 851,3 782
Frankivska,2013,25-29,2 351,3 138
Frankivska,2013,30-34,1 401,1 631
Frankivska,2013,35-39,508,571
Frankivska,2013,40-44,90,123
Frankivska,2013,45-49,5,8
Frankivska,2013,50-54,1,0
Frankivska,2013,55 and older,0,0
Frankivska,2014,before 15,1,3
Frankivska,2014,15-19,249,884
Frankivska,2014,20-24,1 833,3 586
Frankivska,2014,25-29,2 516,3 215
Frankivska,2014,30-34,1 486,1 666
Frankivska,2014,35-39,584,610
Frankivska,2014,40-44,128,116
Frankivska,2014,45-49,1,5
Frankivska,2014,50-54,0,0
Frankivska,2014,55 and older,0,0
Frankivska,2015,before 15,0,1
Frankivska,2015,15-19,279,867
Frankivska,2015,20-24,1 614,3 406
Frankivska,2015,25-29,2 309,2 903
Frankivska,2015,30-34,1 400,1 525
Frankivska,2015,35-39,513,555
Frankivska,2015,40-44,99,100
Frankivska,2015,45-49,5,5
Frankivska,2015,50-54,0,0
Frankivska,2015,55 and older,1,0
Frankivska,2016,before 15,1,1
Frankivska,2016,15-19,262,708
Frankivska,2016,20-24,1 469,3 008
Frankivska,2016,25-29,2 198,2 808
Frankivska,2016,30-34,1 443,1 473
Frankivska,2016,35-39,536,501
Frankivska,2016,40-44,117,119
Frankivska,2016,45-49,5,4
Frankivska,2016,50-54,1,0
Frankivska,2016,55 and older,0,0
Frankivska,2017,before 15,0,2
Frankivska,2017,15-19,172,556
Frankivska,2017,20-24,1 251,2 685
Frankivska,2017,25-29,1 949,2 705
Frankivska,2017,30-34,1 366,1 473
Frankivska,2017,35-39,514,539
Frankivska,2017,40-44,100,99
Frankivska,2017,45-49,7,4
Frankivska,2017,50-54,0,0
Frankivska,2017,55 and older,0,0
Kyivska,1990,before 15,0,0
Kyivska,1990,15-19,2 038,1 812
Kyivska,1990,20-24,6 046,4 169
Kyivska,1990,25-29,3 774,2 272
Kyivska,1990,30-34,1 707,1 011
Kyivska,1990,35-39,566,363
Kyivska,1990,40-44,92,74
Kyivska,1990,45-49,2,5
Kyivska,1990,50-54,0,0
Kyivska,1990,55 and older,0,0
Kyivska,1991,before 15,0,0
Kyivska,1991,15-19,2 093,1 941
Kyivska,1991,20-24,5 845,4 021
Kyivska,1991,25-29,3 368,1 959
Kyivska,1991,30-34,1 533,909
Kyivska,1991,35-39,484,323
Kyivska,1991,40-44,91,77
Kyivska,1991,45-49,4,3
Kyivska,1991,50-54,0,0
Kyivska,1991,55 and older,0,0
Kyivska,1992,before 15,0,0
Kyivska,1992,15-19,2 070,1 948
Kyivska,1992,20-24,5 670,3 879
Kyivska,1992,25-29,2 994,1 809
Kyivska,1992,30-34,1 418,834
Kyivska,1992,35-39,446,306
Kyivska,1992,40-44,78,71
Kyivska,1992,45-49,6,6
Kyivska,1992,50-54,0,0
Kyivska,1992,55 and older,0,0
Kyivska,1993,before 15,0,0
Kyivska,1993,15-19,2 068,1 846
Kyivska,1993,20-24,5 263,3 547
Kyivska,1993,25-29,2 910,1 752
Kyivska,1993,30-34,1 417,734
Kyivska,1993,35-39,415,293
Kyivska,1993,40-44,82,51
Kyivska,1993,45-49,4,6
Kyivska,1993,50-54,0,1
Kyivska,1993,55 and older,0,0
Kyivska,1994,before 15,0,0
Kyivska,1994,15-19,2 001,1 787
Kyivska,1994,20-24,4 773,3 404
Kyivska,1994,25-29,2 569,1 698
Kyivska,1994,30-34,1 278,794
Kyivska,1994,35-39,407,268
Kyivska,1994,40-44,63,55
Kyivska,1994,45-49,6,3
Kyivska,1994,50-54,0,0
Kyivska,1994,55 and older,0,0
Kyivska,1995,before 15,1,5
Kyivska,1995,15-19,1 904,1 741
Kyivska,1995,20-24,4 606,3 341
Kyivska,1995,25-29,2 528,1 602
Kyivska,1995,30-34,1 151,659
Kyivska,1995,35-39,398,209
Kyivska,1995,40-44,84,48
Kyivska,1995,45-49,6,5
Kyivska,1995,50-54,0,1
Kyivska,1995,55 and older,0,1
Kyivska,1996,before 15,5,6
Kyivska,1996,15-19,1 848,1 613
Kyivska,1996,20-24,4 390,3 065
Kyivska,1996,25-29,2 400,1 546
Kyivska,1996,30-34,1 222,690
Kyivska,1996,35-39,377,257
Kyivska,1996,40-44,75,52
Kyivska,1996,45-49,4,2
Kyivska,1996,50-54,0,0
Kyivska,1996,55 and older,0,0
Kyivska,1997,before 15,4,2
Kyivska,1997,15-19,1 594,1 390
Kyivska,1997,20-24,4 177,2 877
Kyivska,1997,25-29,2 427,1 509
Kyivska,1997,30-34,1 086,622
Kyivska,1997,35-39,396,230
Kyivska,1997,40-44,65,64
Kyivska,1997,45-49,4,2
Kyivska,1997,50-54,0,0
Kyivska,1997,55 and older,0,0
Kyivska,1998,before 15,2,4
Kyivska,1998,15-19,1 379,1 209
Kyivska,1998,20-24,3 666,2 668
Kyivska,1998,25-29,2 174,1 439
Kyivska,1998,30-34,1 036,577
Kyivska,1998,35-39,353,237
Kyivska,1998,40-44,64,53
Kyivska,1998,45-49,2,4
Kyivska,1998,50-54,0,0
Kyivska,1998,55 and older,0,0
Kyivska,1999,before 15,1,7
Kyivska,1999,15-19,1 122,1 015
Kyivska,1999,20-24,3 356,2 443
Kyivska,1999,25-29,2 041,1 380
Kyivska,1999,30-34,949,572
Kyivska,1999,35-39,384,245
Kyivska,1999,40-44,74,49
Kyivska,1999,45-49,1,3
Kyivska,1999,50-54,0,0
Kyivska,1999,55 and older,0,0
Kyivska,2000,before 15,1,3
Kyivska,2000,15-19,997,926
Kyivska,2000,20-24,3 319,2 400
Kyivska,2000,25-29,2 112,1 449
Kyivska,2000,30-34,968,608
Kyivska,2000,35-39,333,221
Kyivska,2000,40-44,53,53
Kyivska,2000,45-49,1,5
Kyivska,2000,50-54,0,0
Kyivska,2000,55 and older,0,0
Kyivska,2001,before 15,0,1
Kyivska,2001,15-19,979,883
Kyivska,2001,20-24,3 296,2 145
Kyivska,2001,25-29,2 227,1 415
Kyivska,2001,30-34,1 006,628
Kyivska,2001,35-39,352,203
Kyivska,2001,40-44,66,61
Kyivska,2001,45-49,1,0
Kyivska,2001,50-54,0,0
Kyivska,2001,55 and older,0,0
Kyivska,2002,before 15,3,2
Kyivska,2002,15-19,1 058,886
